datetime,symbol,side,entry,qty,exit_reason,vix,vix_range
2025-12-09 17:44:06,NSE:BANKNIFTY25DEC52000CE,BUY,200.0,35,ENTRY,11.23,10-12
2025-12-09 17:44:07,NSE:BANKNIFTY25DEC52000CE,BUY,7532.5,35,TARGET,11.23,10-12
2025-12-10 09:38:37,NSE:BANKNIFTY25DEC59400CE,BUY,709.1,35,STOPLOSS,10.89,10-12
2025-12-11 09:30:28,NSE:BANKNIFTY25DEC59100CE,BUY,735.0,35,STOPLOSS,10.74,10-12
2025-12-12 09:32:27,NSE:BANKNIFTY25DEC59400CE,BUY,722.9,35,TARGET,10.14,10-12
2025-12-15 09:30:02,NSE:BANKNIFTY25DEC59100PE,BUY,377.3,35,TARGET,10.58,10-12
2025-12-16 09:24:52,NSE:BANKNIFTY25DEC59200PE,BUY,385.45,35,TARGET,10.28,10-12
2025-12-17 09:28:59,NSE:BANKNIFTY25DEC59100CE,BUY,566.55,35,STOPLOSS,10.01,10-12
2025-12-18 09:49:20,NSE:BANKNIFTY25DEC58700PE,BUY,320.05,35,STOPLOSS,9.83,<10
2025-12-19 09:23:10,NSE:BANKNIFTY25DEC59000CE,BUY,550.25,35,STOPLOSS,9.68,<10
2025-12-22 09:24:36,NSE:BANKNIFTY25DEC59300CE,BUY,441.0,35,STOPLOSS,9.85,<10
2025-12-23 09:30:19,NSE:BANKNIFTY25DEC59400CE,BUY,339.8,35,STOPLOSS,9.68,<10
2025-12-24 09:33:20,NSE:BANKNIFTY25DEC59400CE,BUY,343.5,35,TARGET,9.43,<10
2025-12-29 09:58:31,NSE:BANKNIFTY25DEC59000PE,BUY,154.85,35,TARGET,9.68,<10
2025-12-30 09:23:38,NSE:BANKNIFTY25DEC58800PE,BUY,105.0,35,TARGET,9.89,<10
2026-01-01 09:50:56,NSE:BANKNIFTY26JAN59600PE,BUY,475.1,35,TIME_EXIT,9.39,<10
2026-01-07 09:22:15,NSE:BANKNIFTY26JAN59900PE,BUY,442.75,35,TIMEOUT,9.19,<10
2026-01-07 10:15:09,NSE:BANKNIFTY26JAN59900PE,BUY,431.25,35,SL,9.19,<10
2026-01-08 09:34:41,NSE:BANKNIFTY26JAN59800PE,BUY,410.5,35,SL,9.19,<10
2026-01-09 10:28:02,NSE:BANKNIFTY26JAN59500PE,BUY,382.1,35,SL,9.19,<10
2026-01-12 09:31:26,NSE:BANKNIFTY26JAN59000PE,BUY,394.7,35,SL,9.19,<10
2026-01-12 10:27:45,NSE:BANKNIFTY26JAN59000PE,BUY,366.6,35,SL,9.19,<10
2026-01-13 09:43:09,NSE:BANKNIFTY26JAN59600PE,BUY,503.0,35,TARGET,9.19,<10
2026-01-14 09:23:23,NSE:BANKNIFTY26JAN59600CE,BUY,573.7,35,SL,9.19,<10
2026-01-14 09:40:19,NSE:BANKNIFTY26JAN59600CE,BUY,574.5,35,SL,9.19,<10
2026-01-16 09:43:33,NSE:BANKNIFTY26JAN59800CE,BUY,550.05,35,TARGET,9.19,<10
2026-01-16 10:35:51,NSE:BANKNIFTY26JAN59800CE,BUY,743.2,35,TARGET,9.19,<10
2026-01-19 09:58:21,NSE:BANKNIFTY26JAN59800PE,BUY,419.2,35,TARGET,9.19,<10
2026-01-20 09:54:02,NSE:BANKNIFTY26JAN59800PE,BUY,414.55,35,TARGET,9.19,<10
2026-01-21 09:59:06,NSE:BANKNIFTY26JAN59100PE,BUY,287.4,35,TARGET,9.19,<10
2026-01-22 09:21:05,NSE:BANKNIFTY26JAN59300CE,BUY,450.0,35,TARGET,9.19,<10
2026-01-23 09:45:22,NSE:BANKNIFTY26JAN59100PE,BUY,294.15,35,TARGET,9.19,<10
2026-01-23 09:45:22,NSE:BANKNIFTY26JAN59100PE,BUY,294.15,35,TARGET,9.19,<10
2026-01-27 09:21:58,NSE:BANKNIFTY26JAN58300PE,BUY,272.05,35,TARGET,9.19,<10
2026-01-27 09:21:59,NSE:BANKNIFTY26JAN58300PE,BUY,272.05,35,TARGET,9.19,<10
2026-01-28 11:42:40,NSE:BANKNIFTY26FEB59600CE,BUY,1053.05,35,SL,9.19,<10
2026-01-29 09:50:22,NSE:BANKNIFTY26FEB59500CE,BUY,1108.9,35,TARGET,9.19,<10
2026-01-30 09:23:04,NSE:BANKNIFTY26FEB59500PE,BUY,720.9,35,TARGET,9.19,<10
2026-02-01 09:51:06,NSE:BANKNIFTY26FEB59500PE,BUY,700.0,35,SL,9.19,<10
2026-02-02 09:23:02,NSE:BANKNIFTY26FEB58300CE,BUY,1165.6,35,TARGET,9.19,<10
2026-02-03 09:20:51,NSE:BANKNIFTY26FEB60000PE,BUY,726.7,35,SL,9.19,<10
2026-02-04 09:45:18,NSE:BANKNIFTY26FEB60200CE,BUY,826.0,35,TARGET,9.19,<10
2026-02-05 10:21:57,NSE:BANKNIFTY26FEB60200PE,BUY,592.9,35,SL,9.19,<10
2026-02-06 09:38:14,NSE:BANKNIFTY26FEB60100CE,BUY,671.9,35,SL,9.19,<10
2026-02-09 10:28:30,NSE:BANKNIFTY26FEB60900CE,BUY,432.85,35,SL,9.19,<10
2026-02-10 11:37:21,NSE:BANKNIFTY26FEB60800CE,BUY,485.6,35,SL,9.19,<10
2026-02-11 09:40:05,NSE:BANKNIFTY26FEB60500PE,BUY,435.1,35,TARGET,9.19,<10
2026-02-12 10:14:07,NSE:BANKNIFTY26FEB60800CE,BUY,504.0,35,TARGET,9.19,<10
2026-02-13 10:15:05,NSE:BANKNIFTY26FEB60400PE,BUY,405.15,35,TARGET,9.19,<10
2026-02-18 09:56:04,NSE:BANKNIFTY26FEB61300CE,BUY,273.9,35,SL,9.19,<10
2026-02-23 09:26:46,NSE:BANKNIFTY26FEB61300CE,BUY,351.3,35,TARGET,9.19,<10
2026-02-25 09:53:41,NSE:BANKNIFTY26MAR61300CE,BUY,986.3,35,SL,9.19,<10
2026-02-26 09:36:51,NSE:BANKNIFTY26MAR61100PE,BUY,662.0,35,SL,9.19,<10
2026-02-27 09:36:32,NSE:BANKNIFTY26MAR60900PE,BUY,709.0,35,TARGET,9.19,<10
2026-03-02 09:28:55,NSE:BANKNIFTY26MAR60100CE,BUY,1193.0,35,TARGET,9.19,<10
2026-03-05 14:24:53,NSE:BANKNIFTY26MAR58800PE,BUY,901.25,35,SL,9.19,<10
2026-03-06 09:35:06,NSE:BANKNIFTY26MAR58500PE,BUY,899.0,35,TARGET,9.19,<10
2026-03-09 10:43:50,NSE:BANKNIFTY26MAR55500PE,BUY,1437.3,35,TARGET,9.19,<10
